2025-02-27 16:03:09,814 - INFO - Запрос 61: {'lead_id': '31357541'}
2025-02-27 16:03:09,815 - INFO - Ответ 61: 200 {"status":true,"response":{"time":1740661389}}
2025-02-27 16:03:10,088 - INFO - Запрос 62: {'lead_id': '31357291'}
2025-02-27 16:03:10,089 - INFO - Ответ 62: 200 {"status":true,"response":{"time":1740661390}}
2025-02-27 16:03:10,626 - INFO - Запрос 63: {'lead_id': '31357251'}
2025-02-27 16:03:10,627 - INFO - Ответ 63: 200 {"status":true,"response":{"time":1740661390}}
2025-02-27 16:03:11,000 - INFO - Запрос 64: {'lead_id': '31357143'}
2025-02-27 16:03:11,000 - INFO - Ответ 64: 200 {"status":true,"response":{"time":1740661390}}
2025-02-27 16:03:11,275 - INFO - Запрос 65: {'lead_id': '31356879'}
2025-02-27 16:03:11,275 - INFO - Ответ 65: 200 {"status":true,"response":{"time":1740661391}}
2025-02-27 16:03:11,547 - INFO - Запрос 66: {'lead_id': '31356079'}
2025-02-27 16:03:11,547 - INFO - Ответ 66: 200 {"status":true,"response":{"time":1740661391}}
2025-02-27 16:03:11,816 - INFO - Запрос 67: {'lead_id': '31356077'}
2025-02-27 16:03:11,816 - INFO - Ответ 67: 200 {"status":true,"response":{"time":1740661391}}
2025-02-27 16:03:12,092 - INFO - Запрос 68: {'lead_id': '31356075'}
2025-02-27 16:03:12,092 - INFO - Ответ 68: 200 {"status":true,"response":{"time":1740661392}}
2025-02-27 16:03:12,386 - INFO - Запрос 69: {'lead_id': '31356069'}
2025-02-27 16:03:12,386 - INFO - Ответ 69: 200 {"status":true,"response":{"time":1740661392}}
2025-02-27 16:03:12,698 - INFO - Запрос 70: {'lead_id': '31356063'}
2025-02-27 16:03:12,698 - INFO - Ответ 70: 200 {"status":true,"response":{"time":1740661392}}
2025-02-27 16:03:12,983 - INFO - Запрос 71: {'lead_id': '31356061'}
2025-02-27 16:03:12,983 - INFO - Ответ 71: 200 {"status":true,"response":{"time":1740661392}}
2025-02-27 16:03:13,832 - INFO - Запрос 72: {'lead_id': '31356059'}
2025-02-27 16:03:13,832 - INFO - Ответ 72: 200 {"status":true,"response":{"time":1740661393}}
2025-02-27 16:03:14,125 - INFO - Запрос 73: {'lead_id': '31356057'}
2025-02-27 16:03:14,125 - INFO - Ответ 73: 200 {"status":true,"response":{"time":1740661394}}
2025-02-27 16:03:14,397 - INFO - Запрос 74: {'lead_id': '31355977'}
2025-02-27 16:03:14,397 - INFO - Ответ 74: 200 {"status":true,"response":{"time":1740661394}}
2025-02-27 16:03:14,660 - INFO - Запрос 75: {'lead_id': '31355731'}
2025-02-27 16:03:14,660 - INFO - Ответ 75: 200 {"status":true,"response":{"time":1740661394}}
2025-02-27 16:03:14,924 - INFO - Запрос 76: {'lead_id': '31355719'}
2025-02-27 16:03:14,925 - INFO - Ответ 76: 200 {"status":true,"response":{"time":1740661394}}
2025-02-27 16:03:15,195 - INFO - Запрос 77: {'lead_id': '31355635'}
2025-02-27 16:03:15,195 - INFO - Ответ 77: 200 {"status":true,"response":{"time":1740661395}}
